# Number, X_IMAGE, Y_IMAGE, MAG_AUTO, MAGGER_AUTO, FLAGS, FLAGS_WEIGHT, FWHM_IMAGE, BACKGROUND, ALPHA_J2000, DELTA_J2000
5612,6421.9673,9416.937,-8.640608115234375,0.091927454,0,0,2.0880406,6.87248,56.61190927289242,24.820123960319165
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
6,1958.4385,270.00528,-11.905964,0.0047704848,0,0,1.8601071,83.1681,57.367271001403594,23.40432080858221
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
8,2217.0032,275.6997,-12.189832,0.004177661,0,0,1.8429914,86.29299,57.323683437086,23.4053311859076
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
28,6229.2393,313.42715,-12.447604,0.0037024263,0,0,1.9231071,90.14853,56.647223219307946,23.41162661586503
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
2011,9699.857,9145.221,-16.30321885559082,0.006172843,0,0,1.5617701,0.9646911,56.05807384745892,24.779268769143396
