# Number, X_IMAGE, Y_IMAGE, MAG_AUTO, MAGGER_AUTO, FLAGS, FLAGS_WEIGHT, FWHM_IMAGE, BACKGROUND, ALPHA_J2000, DELTA_J2000
9050,1473.2646,7330.0605,-11.682233,0.005322176,0,0,1.7284497,83.5943,57.453943486082146,24.496404633781527
9051,7841631,7309733,-7.911249,0.04323945,0,0,1.8780808,129.49886,56.371103323419185,24.493498906640003
9052,4895.0,7832.3496,99.0,99.0,0,0,21.758583,100.6241,56.872122317770895,24.57521188666487
9053,4785773,7313.4053,-8.387828,0.0311873,0,0,1.707249,93.29959,56.89069933194305,24.494915794692794
9054,1421.1467,7315.4326,-8.453427,0.030073008,0,0,1.623724,83.55666,57.46279442564168,24.49410748096032
9055,1156.4053,7355.5386,-12.946497,0.002930495,0,0,1.8819487,82.8043,57.50783613669762,24.500133026606726
9056,5302.0674,7313.6606,-7.4303536,0.056159783,0,0,1.6859922,98.336845,56.80290978397936,24.494936708728968
9057,6104.9614,7323247,-9.065124,0.020944286,0,0,1.6994603,101.60294,56.66638579122486,24.4962903062704
9058,6931375,7367078,-9.572178,0.028315907,3,0,7.427607,121.916466,56.52584727395298,24.502810507720955
9059,7672401,7319.5996,-7.948929,0.042906314,0,0,1.8866249,123.79478,56.39987080866517,24.495119092845208
9060,6847662,7324129,-9.085066,0.02016879,0,0,1.7655089,116.84116,56.540099661122326,24.496197528032077
9061,2534.9253,7325474,-8.811361,0.0242321,0,0,1.7590969,86.40646,57.27342822420796,24.496271249573198
4282,431.38782,7419025,-15.678704543151856,0.0024362183,0,0,1.8890773,7.8060417,57.631272654834504,24.509372847542455
9063,4668.0796,7323791,-7.5476384,0.053111706,0,0,1.6548622,91.60482,56.91071209478654,24.49651989260828
9064,788.24,7324.91,-7.4064436,0.061947174,0,0,1.8307421,84.029144,57.57040737493753,24.495122048214046
9065,3354457,7327.7363,-8.864118,0.02331381,0,0,1.7032542,87.4197,57.13407999359761,24.496919308083875
9066,7272.96,7323652,-7.1452813,0.07826922,0,0,1.435807,125.21996,56.46778532768972,24.49594513096521
9067,8520864,7327.2134,-8.775334,0.02360791,0,0,1.8123964,130.67421,56.25560660953153,24.49577344290781
9068,5324.1245,7326.9355,-6.841872,0.08944649,0,0,1.7489159,99.114265,56.79915796670413,24.496988884628415
9069,7166.5327,7337879,-10.164299,0.011250601,0,0,1.6085478,127.1821,56.485874553911934,24.498194322287073
9070,4654.62,7330.5103,-8.506802,0.029932752,0,0,1.588363,91.48633,56.91300096276367,24.497559080479487
9071,2003.0782,7328.9785,-7.993387,0.038471486,0,0,1.5876702,84.76131,57.36386037609466,24.49655161735472
9072,996.7074,7339638,-10.624206,0.0089129945,0,0,1.6769075,82.45639,57.53497614229928,24.497558033205205
9073,1607.0698,7342.1035,-10.966257,0.0075158263,0,0,1.6978109,83.63443,57.43120134525334,24.498352381410093
9074,5467925,7333.0283,-9.294404,0.017461255,0,0,1.6739697,105.59273,56.774705340806,24.497916791240407
9075,2987.9773,7343.2646,-9.978114,0.0124262795,0,0,1.7634908,87.66104,57.1964009027246,24.499204530325056
9076,3719.1775,7374.7104,-12.968456,0.0028977848,0,0,1.7760416,88.66536,57.072074572981116,24.504279138110526
9077,9268323,7345201,-9.91617,0.012895232,0,0,1.7993512,97.600395,56.12851001274747,24.497981638827007
9078,3232.2292,7336.5283,-7.6929545,0.04774684,0,0,1.7241879,87.504974,57.154866188742396,24.498243352229007
4278,1777.3098,7380133,-12.940543456115723,0.008714466,0,0,1.7241178,6.8595023,57.40238838646701,24.504316969872537
9080,5743.9746,7417855,-11.418511,0.013088469,3,0,22.92369,110.9428,56.727750006621875,24.51100254403474
9081,5023.2534,7916313,-18.243874,0.0002642599,4,0,69.7709,112.719315,56.850297748889254,24.58820078288197
9082,2162.9246,7339.7915,-8.334067,0.033064205,0,0,1.8280721,85.174194,57.33668779886566,24.498308973715158
9083,8894111,7342.3066,-8.094183,0.06316276,0,0,4.4341755,107.0304,56.19213502175057,24.497834907873862
9084,7015.0,7437.0034,99.0,99.0,0,0,11.050931,154.71117,56.511596310799526,24.51359608805619
9085,3327.7124,7343566,-8.828639,0.023548061,0,0,1.6638318,87.42323,57.13863254649524,24.49936094050683
9086,5626.0,7356.0903,99.0,99.0,0,0,4.636195,117.614204,56.7478223640507,24.50146430851619
9087,7890696,7375.3965,-12.227489,0.004115537,0,0,1.6663822,127.64569,56.36272002982067,24.50363054383473
9088,1078.6655,7344.1934,-9.020594,0.021184444,0,0,1.6918885,82.54137,57.52104504506435,24.498322389222096
4295,355.64682,7408.3765,-14.308709425964356,0.004595232,0,0,1.5694698,7.5248485,57.644141074565276,24.507660981528865
4284,9058969,7426.1567,-15.62023953918457,0.0025073776,0,0,1.8105352,8.472283,56.164135489292995,24.51065680506938
9091,2513.8735,7345344,-7.414772,0.07724092,0,0,2.856992,86.27969,57.27701727328159,24.49933629169165
